studyid,site,treatment,collection_date,sample size (reps),planting density (shoots / area),tank volume (L),light hours,dark hours,surface_irradiance,si_units,penetrating irradiance,pi_units,%SI,mean DLI (mol m-2day-1),temperature_c,salinity_psu,pH,turbidity (NTU),NO3 addition,target NO3,measured NO3,NH4 addition,target NH4,measured NH4,measured DIN,added PO4,measured PO4,grain size (µM),DIC,% organic matter,Fe content,sulphide,driver notes,other covariates,light-temperature,exp setup,seasonal data?,pen_light,surface_light,light_hours,mean_dli,author,pub_year,lat,lon,DLI,clean_temp,parsed_collection_date
116,"Beaufort, North Carolina, USA",L + seedling,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,11.07 ± 3.196,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,control,lab mesocosm,no,NA,75,14,11.07,Biber et al.,2009,34.71666667,-76.66666667,11.07,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",3D:9L + mature,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,7.69 ± 3.721,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,days of darkness,lab mesocosm,no,NA,75,14,7.69,Biber et al.,2009,34.71666667,-76.66666667,7.69,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",3D:9L + seedling,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,7.69 ± 3.721,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,days of darkness,lab mesocosm,no,NA,75,14,7.69,Biber et al.,2009,34.71666667,-76.66666667,7.69,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",3D:3L + mature,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,5.41 ± 3.501,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,days of darkness,lab mesocosm,no,NA,75,14,5.41,Biber et al.,2009,34.71666667,-76.66666667,5.41,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",3D:3L + seedling,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,5.41 ± 3.501,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,days of darkness,lab mesocosm,no,NA,75,14,5.41,Biber et al.,2009,34.71666667,-76.66666667,5.41,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",9D:9L + mature,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,5.49 ± 3.374,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,days of darkness,lab mesocosm,no,NA,75,14,5.49,Biber et al.,2009,34.71666667,-76.66666667,5.49,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",9D:9L + seedling,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,5.49 ± 3.374,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,days of darkness,lab mesocosm,no,NA,75,14,5.49,Biber et al.,2009,34.71666667,-76.66666667,5.49,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",9D:3L + mature,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,2.58 ± 3.0324,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,days of darkness,lab mesocosm,no,NA,75,14,2.58,Biber et al.,2009,34.71666667,-76.66666667,2.58,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",9D:3L + seedling,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,2.58 ± 3.0324,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,days of darkness,lab mesocosm,no,NA,75,14,2.58,Biber et al.,2009,34.71666667,-76.66666667,2.58,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",D + mature,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,0,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,light (no light),lab mesocosm,no,NA,75,14,0,Biber et al.,2009,34.71666667,-76.66666667,0,20.36,2004-03-01
116,"Beaufort, North Carolina, USA",D + seedling,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,0,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,light (no light),lab mesocosm,no,NA,75,14,0,Biber et al.,2009,34.71666667,-76.66666667,0,20.36,2004-03-01
127,"Seden Strand, Odense Fjiord, Denmark",S: 2.5,2004-06 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,2.5,7.8,np,np,np,np,np,np,np,didn't check,NA,NA,np,range: 2.2 - 5.2 mM,np,np,np,NA,NA,salinity,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2004-06-01
127,"Seden Strand, Odense Fjiord, Denmark",S: 5,2004-06 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,5,7.8,np,np,np,np,np,np,np,didn't check,NA,NA,np,range: 2.2 - 5.2 mM,np,np,np,NA,NA,salinity,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2004-06-01
127,"Seden Strand, Odense Fjiord, Denmark",S: 10,2004-06 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,10,7.8,np,np,np,np,np,np,np,didn't check,NA,NA,np,range: 2.2 - 5.2 mM,np,np,np,NA,NA,salinity,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2004-06-01
127,"Seden Strand, Odense Fjiord, Denmark",S: 15,2004-06 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,15,7.8,np,np,np,np,np,np,np,didn't check,NA,NA,np,range: 2.2 - 5.2 mM,np,np,np,NA,NA,salinity,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2004-06-01
127,"Seden Strand, Odense Fjiord, Denmark",S: 20,2004-06 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,20,7.8,np,np,np,np,np,np,np,didn't check,NA,NA,np,range: 2.2 - 5.2 mM,np,np,np,NA,NA,salinity,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2004-06-01
127,"Seden Strand, Odense Fjiord, Denmark",S: 25,2004-06 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,25,7.8,np,np,np,np,np,np,np,didn't check,NA,NA,np,range: 2.2 - 5.2 mM,np,np,np,NA,NA,salinity,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2004-06-01
127,"Seden Strand, Odense Fjiord, Denmark",S: 30,2004-06 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,30,7.8,np,np,np,np,np,np,np,didn't check,NA,NA,np,range: 2.2 - 5.2 mM,np,np,np,NA,NA,salinity,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2004-06-01
127,"Seden Strand, Odense Fjiord, Denmark",S: 35,2004-06 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,35,7.8,np,np,np,np,np,np,np,didn't check,NA,NA,np,range: 2.2 - 5.2 mM,np,np,np,NA,NA,salinity,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2004-06-01
127,"Seden Strand, Odense Fjiord, Denmark",T: 5,2005-05 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,5,15,7.9,np,np,np,np,np,np,np,didn't check,NA,NA,np,3.9 mM,np,np,np,NA,NA,temperature,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,5,2005-05-01
127,"Seden Strand, Odense Fjiord, Denmark",T: 10,2005-05 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,10,15,7.9,np,np,np,np,np,np,np,didn't check,NA,NA,np,3.9 mM,np,np,np,NA,NA,temperature,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,10,2005-05-01
127,"Seden Strand, Odense Fjiord, Denmark",T: 15,2005-05 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,15,15,7.9,np,np,np,np,np,np,np,didn't check,NA,NA,np,3.9 mM,np,np,np,NA,NA,temperature,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,15,2005-05-01
127,"Seden Strand, Odense Fjiord, Denmark",T: 20,2005-05 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,20,15,7.9,np,np,np,np,np,np,np,didn't check,NA,NA,np,3.9 mM,np,np,np,NA,NA,temperature,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,20,2005-05-01
127,"Seden Strand, Odense Fjiord, Denmark",T:25,2005-05 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,25,15,7.9,np,np,np,np,np,np,np,didn't check,NA,NA,np,3.9 mM,np,np,np,NA,NA,temperature,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,25,2005-05-01
127,"Seden Strand, Odense Fjiord, Denmark",T: 27.5,2005-05 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,27.5,15,7.9,np,np,np,np,np,np,np,didn't check,NA,NA,np,3.9 mM,np,np,np,NA,NA,temperature,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,27.5,2005-05-01
127,"Seden Strand, Odense Fjiord, Denmark",T: 30,2005-05 (3-5 day acclimation),3,np,20,16,8,400,µmol photos m-2 s-1,np,np,NA,NA,30,15,7.9,np,np,np,np,np,np,np,didn't check,NA,NA,np,3.9 mM,np,np,np,NA,NA,temperature,lab mesocosm,no,NA,400,16,NA,Nejrup and Pederson,2008,55.43878,10.44959,23.04,30,2005-05-01
310,"Yaquina Bay, Newport, Oregon, USA",Warm + AmbN,"2013-06 (2013-07, 2013-08: results pooled; no acclimation time indicated)",3,2 / (0.01327 m2),np,12,12,np,np,> 200,µmol photos m-2 s-1,NA,calculate,20 ± 2,np - could maybe get from kaldy 2012?,np,np,0,8 mmol N / day,7 ± 10; 16 ± 7; 7 ± 3 µM,NA,NA,< 3 µM,didn't check,NA,< 1 µM,np,< 0.02 mM,np,np,np,"three repeat experiments done to increase sample size, hence there are 3 measurements of NO3; 100 g of macroalgae added to each mesocosm tank (but not nursery bucket containing Zm I think)",ambient nutrients,temperature; nutrients - control,lab mesocosm,no,200,NA,12,NA,Kaldy et al.,2017,44.621398,-124.063374,8.64,20,2013-06-01
310,"Yaquina Bay, Newport, Oregon, USA",Warm + LN,"2013-06 (2013-07, 2013-08: results pooled; no acclimation time indicated)",3,2 / (0.01327 m2),np,12,12,np,np,> 200,µmol photos m-2 s-1,NA,calculate,20 ± 2,np - could maybe get from kaldy 2012?,np,np,4 mmol N / day,12 mmol N / day,10 ± 11; 19 ± 7; 11 ± 4 µM,NA,NA,< 3 µM,didn't check,NA,< 1 µM,np,< 0.02 mM,np,np,np,"three repeat experiments done to increase sample size, hence there are 3 measurements of NO3; 100 g of macroalgae added to each mesocosm tank (but not nursery bucket containing Zm I think)",NA,temperature; nutrients,lab mesocosm,no,200,NA,12,NA,Kaldy et al.,2017,44.621398,-124.063374,8.64,20,2013-06-01
310,"Yaquina Bay, Newport, Oregon, USA",Warm + MN,"2013-06 (2013-07, 2013-08: results pooled; no acclimation time indicated)",3,2 / (0.01327 m2),np,12,12,np,np,> 200,µmol photos m-2 s-1,NA,calculate,20 ± 2,np - could maybe get from kaldy 2012?,np,np,16 mmol N / day,24 mmol N / day,23 ± 10; 33 ± 9; 27 ± 7 µM,NA,NA,< 3 µM,didn't check,NA,< 1 µM,np,< 0.02 mM,np,np,np,"three repeat experiments done to increase sample size, hence there are 3 measurements of NO3; 100 g of macroalgae added to each mesocosm tank (but not nursery bucket containing Zm I think)",NA,temperature; nutrients,lab mesocosm,no,200,NA,12,NA,Kaldy et al.,2017,44.621398,-124.063374,8.64,20,2013-06-01
310,"Yaquina Bay, Newport, Oregon, USA",Warm + HN,"2013-06 (2013-07, 2013-08: results pooled; no acclimation time indicated)",3,2 / (0.01327 m2),np,12,12,np,np,> 200,µmol photos m-2 s-1,NA,calculate,20 ± 2,np - could maybe get from kaldy 2012?,np,np,40 mmol N / day,50 mmol N / day,58 ± 14; 68 ± 18; 61 ± 16 µM,NA,NA,< 3 µM,didn't check,NA,< 1 µM,np,< 0.02 mM,np,np,np,"three repeat experiments done to increase sample size, hence there are 3 measurements of NO3; 100 g of macroalgae added to each mesocosm tank (but not nursery bucket containing Zm I think)",NA,temperature; nutrients,lab mesocosm,no,200,NA,12,NA,Kaldy et al.,2017,44.621398,-124.063374,8.64,20,2013-06-01
310,"Yaquina Bay, Newport, Oregon, USA",Cold + AmbN,"2013-06 (2013-07, 2013-08: results pooled; no acclimation time indicated)",3,2 / (0.01327 m2),np,12,12,np,np,> 200,µmol photos m-2 s-1,NA,calculate,10 ± 2,np - could maybe get from kaldy 2012?,np,np,0,8 mmol N / day,7 ± 10; 16 ± 7; 7 ± 3 µM,NA,NA,< 3 µM,didn't check,NA,< 1 µM,np,< 0.02 mM,np,np,np,"three repeat experiments done to increase sample size, hence there are 3 measurements of NO3; 100 g of macroalgae added to each mesocosm tank (but not nursery bucket containing Zm I think)",NA,temperature; nutrients - control,lab mesocosm,no,200,NA,12,NA,Kaldy et al.,2017,44.621398,-124.063374,8.64,10,2013-06-01
310,"Yaquina Bay, Newport, Oregon, USA",Cold + LN,"2013-06 (2013-07, 2013-08: results pooled; no acclimation time indicated)",3,2 / (0.01327 m2),np,12,12,np,np,> 200,µmol photos m-2 s-1,NA,calculate,10 ± 2,np - could maybe get from kaldy 2012?,np,np,4 mmol N / day,12 mmol N / day,10 ± 11; 19 ± 7; 11 ± 4 µM,NA,NA,< 3 µM,didn't check,NA,< 1 µM,np,< 0.02 mM,np,np,np,"three repeat experiments done to increase sample size, hence there are 3 measurements of NO3; 100 g of macroalgae added to each mesocosm tank (but not nursery bucket containing Zm I think)",NA,temperature; nutrients - control,lab mesocosm,no,200,NA,12,NA,Kaldy et al.,2017,44.621398,-124.063374,8.64,10,2013-06-01
310,"Yaquina Bay, Newport, Oregon, USA",Cold + MN,"2013-06 (2013-07, 2013-08: results pooled; no acclimation time indicated)",3,2 / (0.01327 m2),np,12,12,np,np,> 200,µmol photos m-2 s-1,NA,calculate,10 ± 2,np - could maybe get from kaldy 2012?,np,np,16 mmol N / day,24 mmol N / day,23 ± 10; 33 ± 9; 27 ± 7 µM,NA,NA,< 3 µM,didn't check,NA,< 1 µM,np,< 0.02 mM,np,np,np,"three repeat experiments done to increase sample size, hence there are 3 measurements of NO3; 100 g of macroalgae added to each mesocosm tank (but not nursery bucket containing Zm I think)",NA,temperature; nutrients - control,lab mesocosm,no,200,NA,12,NA,Kaldy et al.,2017,44.621398,-124.063374,8.64,10,2013-06-01
310,"Yaquina Bay, Newport, Oregon, USA",Cold + HN,"2013-06 (2013-07, 2013-08: results pooled; no acclimation time indicated)",3,2 / (0.01327 m2),np,12,12,np,np,> 200,µmol photos m-2 s-1,NA,calculate,10 ± 2,np - could maybe get from kaldy 2012?,np,np,40 mmol N / day,50 mmol N / day,58 ± 14; 68 ± 18; 61 ± 16 µM,NA,NA,< 3 µM,didn't check,NA,< 1 µM,np,< 0.02 mM,np,np,np,"three repeat experiments done to increase sample size, hence there are 3 measurements of NO3; 100 g of macroalgae added to each mesocosm tank (but not nursery bucket containing Zm I think)",NA,temperature; nutrients - control,lab mesocosm,no,200,NA,12,NA,Kaldy et al.,2017,44.621398,-124.063374,8.64,10,2013-06-01
325,"Isefjorden, Denmark",S: 5 + T: 15,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,15 ± 1,5,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,15,2012-05-01
325,"Isefjorden, Denmark",S: 12.5 + T: 15,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,15 ± 1,12.5,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,15,2012-05-01
325,"Isefjorden, Denmark",S: 20 + T: 15,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,15 ± 1,20,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,15,2012-05-01
325,"Isefjorden, Denmark",S: 5 + T: 20,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,20 ± 1,5,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,20,2012-05-01
325,"Isefjorden, Denmark",S: 12.5 + T: 20,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,20 ± 1,12.5,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,20,2012-05-01
325,"Isefjorden, Denmark",S: 20 + T: 20,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,20 ± 1,20,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,20,2012-05-01
325,"Isefjorden, Denmark",S: 5 + T: 25,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,25 ± 1,5,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,25,2012-05-01
325,"Isefjorden, Denmark",S: 12.5 + T: 25,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,25 ± 1,12.5,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,25,2012-05-01
325,"Isefjorden, Denmark",S: 20 + T: 25,2012-05 (no acclimation time indicated),3,np,20,16,8,120,µmol photos m-2 s-1,np,np,NA,NA,25 ± 1,20,range: 7.93 ± 0.03 to 8.14 ± 0.03,np,np,np,np,np,np,np,didn't check,NA,np,np,range: 3.87 ± 0.18 to 3.04 ±0.11 mM,np,np,np,NA,NA,salinity; temperature,lab mesocosm,no,NA,120,16,NA,Salo_Pedersen,2014,55.71222222,11.79305555,6.912,25,2012-05-01
9,"Goodwin Island, Chesapeake Bay, Virginia, USA",T: 22,2015-08 (3 day acclimation),np,np / (0.04909 m2),np,field conditions,field conditions,np,np,np,np,22.9,np,22,range: 20 - 22,np,np,np,np,np,np,np,np,didn't check,NA,np,np,np,np,np,np,used natural light; could impute using calculation and nearby irradiance,NA,temperature,outdoor mesocosm,np,NA,NA,NA,NA,Hammer et al.,2018,36.71871,-76.38861,NA,22,2015-08-01
9,"Goodwin Island, Chesapeake Bay, Virginia, USA",T: 26,2015-08 (3 day acclimation),np,np / (0.04909 m2),np,field conditions,field conditions,np,np,np,np,22.9,np,26,range: 20 - 22,np,np,np,np,np,np,np,np,didn't check,NA,np,np,np,np,np,np,NA,NA,temperature,outdoor mesocosm,np,NA,NA,NA,NA,Hammer et al.,2018,36.71871,-76.38861,NA,26,2015-08-01
9,"Goodwin Island, Chesapeake Bay, Virginia, USA",T: 30,2015-08 (3 day acclimation),np,np / (0.04909 m2),np,field conditions,field conditions,np,np,np,np,22.9,np,30,range: 20 - 22,np,np,np,np,np,np,np,np,didn't check,NA,np,np,np,np,np,np,NA,NA,temperature,outdoor mesocosm,np,NA,NA,NA,NA,Hammer et al.,2018,36.71871,-76.38861,NA,30,2015-08-01
57,"Koje Bay, Korea",Control - Spring,2003-04 (field study),3,1816.96242899506 / (1.5 x 1.5 m),field exp,field conditions,field conditions,calculate,np,yes,np,57.8,26.8,mean: 15.8; range: 13.5 to 20.6,np,np,np,np,np,np,np,np,can get from Fig 4 if average over time,didn't check,NA,np,np,np,np,np,np,raw daily light and porewater NH4 data available; unclear direction of effect on NH4 and Zm response,NA,light,field manipulation,"yes - but not using correlated env as of now, would need to extract",NA,NA,NA,26.8,Kim et al.,2015,34.48,128.35,26.8,15.8,2003-04-01
57,"Koje Bay, Korea",Shaded - Spring,2003-04 (field study),3,1816.96242899506 / (1.5 x 1.5 m),field exp,field conditions,field conditions,calculate,np,yes,np,6.2,2.6,mean: 15.8; range: 13.5 to 20.6,np,np,np,np,np,np,np,np,can get from Fig 4 if average over time,didn't check,NA,np,np,np,np,np,np,raw daily light and porewater NH4 data available; unclear direction of effect on NH4 and Zm response,NA,light,field manipulation,"yes - but not using correlated env as of now, would need to extract",NA,NA,NA,2.6,Kim et al.,2015,34.48,128.35,2.6,15.8,2003-04-01
57,"Koje Bay, Korea",Control - Summer,2003-06 (field study),3,851.985253266711 / (1.5 x 1.5 m),field exp,field conditions,field conditions,calculate,np,yes,np,37.299999999999997,17.600000000000001,mean: 23.2; range: 19.9 to 26.6,np,np,np,np,np,np,np,np,can get from Fig 4 if average over time,didn't check,NA,np,np,np,np,np,np,raw daily light and porewater NH4 data available; unclear direction of effect on NH4 and Zm response,NA,light,field manipulation,"yes - but not using correlated env as of now, would need to extract",NA,NA,NA,17.6,Kim et al.,2015,34.48,128.35,17.6,23.2,2003-06-01
57,"Koje Bay, Korea",Shaded - Summer,2003-06 (field study),3,851.985253266711 / (1.5 x 1.5 m),field exp,field conditions,field conditions,calculate,np,yes,np,1.6,0.7,mean: 23.2; range: 19.9 to 26.6,np,np,np,np,np,np,np,np,can get from Fig 4 if average over time,didn't check,NA,np,np,np,np,np,np,raw daily light and porewater NH4 data available; unclear direction of effect on NH4 and Zm response,NA,light,field manipulation,"yes - but not using correlated env as of now, would need to extract",NA,NA,NA,0.7,Kim et al.,2015,34.48,128.35,0.7,23.2,2003-06-01
